county,county_id,registered_voters,turnout_in_person,turnout_mail,turnout_total,roster_in_person,roster_mail,roster_total,gap_in_person,gap_mail,gap_total,gap_pct
LAMAR,139,33116,2456,63,2519,2456,37,2493,0,26,26,0.010321556173084558
LAMB,140,7703,331,69,400,331,69,400,0,0,0,0.0
LAMPASAS,141,17266,1157,96,1253,1157,37,1194,0,59,59,0.047086991221069435
LASALLE,142,4070,36,1,37,36,0,36,0,1,1,0.02702702702702703
LAVACA,143,14402,1133,1,1134,1133,0,1133,0,1,1,0.0008818342151675485
LEE,144,12092,548,45,593,548,2,550,0,43,43,0.07251264755480608
LEON,145,12600,792,57,849,792,52,844,0,5,5,0.005889281507656066
LIBERTY,146,57770,4938,129,5067,4938,26,4964,0,103,103,0.020327610025656206
LIMESTONE,147,14356,747,68,815,747,23,770,0,45,45,0.05521472392638037
LIPSCOMB,148,1879,47,41,88,47,6,53,0,35,35,0.3977272727272727
LIVE OAK,149,7644,369,35,404,369,3,372,0,32,32,0.07920792079207921
LLANO,150,18302,2268,219,2487,2268,19,2287,0,200,200,0.08041817450743868
LOVING,151,150,0,0,0,0,0,0,0,0,0,0.0
LUBBOCK,152,200436,15176,756,15932,15176,103,15279,0,653,653,0.04098669344715039
LYNN,153,4467,135,5,140,135,3,138,0,2,2,0.014285714285714285
MADISON,154,8469,261,43,304,261,43,304,0,0,0,0.0
MARION,155,7800,440,40,480,440,38,478,0,2,2,0.004166666666666667
MARTIN,156,3566,163,8,171,163,5,168,0,3,3,0.017543859649122806
MASON,157,3257,351,11,362,351,0,351,0,11,11,0.03038674033149171
MATAGORDA,158,22186,833,55,888,833,30,863,0,25,25,0.028153153153153154
MAVERICK,159,36799,168,0,168,168,0,168,0,0,0,0.0
MCCULLOCH,160,5358,344,31,375,344,19,363,0,12,12,0.032
MCLENNAN,161,156560,6829,705,7534,6810,84,6894,19,621,640,0.08494823466949827
MCMULLEN,162,644,55,3,58,55,1,56,0,2,2,0.034482758620689655
MEDINA,163,39897,2863,10,2873,2863,6,2869,0,4,4,0.0013922728854855553
MENARD,164,1467,126,14,140,126,5,131,0,9,9,0.06428571428571428
MIDLAND,165,97373,6574,290,6864,6574,72,6646,0,218,218,0.03175990675990676
MILAM,166,17257,919,44,963,919,44,963,0,0,0,0.0
MILLS,167,3604,449,14,463,449,14,463,0,0,0,0.0
MITCHELL,168,4482,197,15,212,197,4,201,0,11,11,0.05188679245283019
MONTAGUE,169,15460,652,73,725,652,19,671,0,54,54,0.07448275862068965
MONTGOMERY,170,473251,27786,2518,30304,27786,225,28011,0,2293,2293,0.07566657866948258
MOORE,171,10137,579,35,614,579,6,585,0,29,29,0.04723127035830619
MORRIS,172,8770,579,31,610,579,19,598,0,12,12,0.019672131147540985
MOTLEY,173,827,67,19,86,67,1,68,0,18,18,0.20930232558139536
NACOGDOCHES,174,39316,2153,152,2305,2153,151,2304,0,1,1,0.0004338394793926247
NAVARRO,175,33874,2562,14,2576,2562,13,2575,0,1,1,0.00038819875776397513
NEWTON,176,9412,348,0,348,348,0,348,0,0,0,0.0
NOLAN,177,8773,768,40,808,768,14,782,0,26,26,0.03217821782178218
NUECES,178,211505,7036,560,7596,7035,118,7153,1,442,443,0.05832016850974197
OCHILTREE,179,5154,221,43,264,221,6,227,0,37,37,0.14015151515151514
OLDHAM,180,1376,63,16,79,63,1,64,0,15,15,0.189873417721519
ORANGE,181,56337,2491,221,2712,2491,31,2522,0,190,190,0.0700589970501475
PALO PINTO,182,20569,1097,174,1271,1097,47,1144,0,127,127,0.0999213217938631
PANOLA,183,17778,942,75,1017,942,9,951,0,66,66,0.06489675516224189
PARKER,184,130559,9356,644,10000,9356,87,9443,0,557,557,0.0557
PARMER,185,4514,132,14,146,132,2,134,0,12,12,0.0821917808219178
PECOS,186,8352,1071,32,1103,1071,9,1080,0,23,23,0.02085222121486854
POLK,187,43755,4357,372,4729,4357,119,4476,0,253,253,0.0534996828082047
POTTER,188,58180,2180,398,2578,2180,75,2255,0,323,323,0.1252909231962762
PRESIDIO,189,4445,25,2,27,25,2,27,0,0,0,0.0
RAINS,190,9615,769,34,803,769,0,769,0,34,34,0.04234122042341221
RANDALL,191,101225,5715,832,6547,5639,125,5764,76,707,783,0.11959676187566824
REAGAN,192,1810,165,8,173,165,0,165,0,8,8,0.046242774566473986
REAL,193,2677,106,11,117,106,11,117,0,0,0,0.0
RED RIVER,194,8568,498,11,509,492,3,495,6,8,14,0.0275049115913556
REEVES,195,7914,58,13,71,58,2,60,0,11,11,0.15492957746478872
