election_id,report_date,county,county_id,registered_voters,in_person_votes_on_date,total_in_person_votes,total_mail_votes,roster_available,source
58315,2026-05-20,WILLACY,245,11524,26,38,3,true,civix
58315,2026-05-20,WILLIAMSON,246,458766,4174,12391,1295,true,civix
58315,2026-05-20,WILSON,247,39951,399,1052,185,true,civix
58315,2026-05-20,WINKLER,248,4144,1,1,17,true,civix
58315,2026-05-20,WISE,249,58175,827,1955,179,true,civix
58315,2026-05-20,WOOD,250,35540,575,1289,291,true,civix
58315,2026-05-20,YOAKUM,251,4330,45,107,14,true,civix
58315,2026-05-20,YOUNG,252,12705,372,1395,0,true,civix
58315,2026-05-20,ZAPATA,253,8228,1,6,0,true,civix
58315,2026-05-20,ZAVALA,254,7532,0,28,1,true,civix
